actmed,latitude,longitude,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Class_Freshman,Class_Junior,Class_Redshirt Freshman,Class_Senior,Class_Sophomore
24.5,34.3916641,-118.542586,1,0,0,0,0,0,0,1,0
24.5,47.6445386,-122.6948697,0,0,0,1,0,0,0,1,0
24.5,40.8042674,-74.012084,0,1,0,0,0,0,0,1,0
24.5,33.8703645,-117.9242123,1,0,0,0,0,0,0,1,0
24.5,33.8703645,-117.9242123,1,0,0,0,0,0,0,1,0
24.5,34.033625,-117.0430865,0,0,0,1,0,0,0,1,0
24.5,37.3382082,-121.88632859999998,0,1,0,0,0,0,0,1,0
24.5,37.0029828,-121.5566373,0,0,0,1,0,0,0,1,0
24.5,33.88850350000001,-117.8132571,1,0,0,0,0,0,0,1,0
24.5,40.5852602,-105.084423,0,0,0,1,0,0,0,1,0
24.5,44.786568,20.4489216,0,0,0,1,0,0,0,1,0
21.0,39.5296329,-119.8138027,0,0,1,0,0,0,0,1,0
21.0,33.6594835,-117.9988026,0,0,1,0,0,0,0,1,0
21.0,31.7618778,-106.4850217,1,0,0,0,0,0,0,1,0
21.0,33.816936600000005,-118.0368507,1,0,0,0,0,0,0,1,0
21.0,33.553914299999995,-117.2139232,1,0,0,0,0,0,0,1,0
21.0,46.4390284,-71.0213182,1,0,0,0,0,0,0,1,0
21.0,52.28519050000001,-1.5200789,0,1,0,0,0,0,0,1,0
21.0,33.931859100000004,-117.946137,1,0,0,0,0,0,0,1,0
21.0,34.5794343,-118.11646129999998,0,0,0,1,0,0,0,1,0
21.0,34.521104,-117.9836793,0,0,0,1,0,0,0,1,0
21.0,39.97491249999999,-83.0032564,0,1,0,0,0,0,0,1,0
21.0,33.8816818,-118.1170117,0,0,0,1,0,1,0,0,0
21.0,33.931859100000004,-117.946137,0,0,0,1,0,0,0,1,0
21.0,34.521104,-117.9836793,0,1,0,0,0,0,0,1,0
21.0,43.051943400000006,-89.07566750000002,0,1,0,0,0,0,0,1,0
21.0,43.6393988,-79.5367377,0,0,0,1,0,0,0,1,0
21.0,34.5794343,-118.11646129999998,1,0,0,0,0,1,0,0,0
21.0,33.640171,-117.602832,0,0,0,1,0,0,0,1,0
21.0,33.8365932,-117.9143012,1,0,0,0,0,0,0,1,0
21.0,33.7454725,-117.867653,0,0,0,1,0,0,0,1,0
21.0,40.1672068,-105.1019275,0,1,0,0,0,0,0,1,0
21.0,43.7761753,-79.60924299999998,0,1,0,0,0,0,0,1,0
21.0,33.8674044,-117.9981387,1,0,0,0,0,0,0,1,0
21.0,33.8365932,-117.9143012,1,0,0,0,1,0,0,0,0
21.0,33.9608646,-118.1857858,1,0,0,0,0,0,0,1,0
21.0,33.97917929999999,-118.032844,0,1,0,0,0,0,0,1,0
21.0,33.8816818,-118.1170117,0,0,0,1,0,0,0,1,0
21.0,35.0843859,-106.650422,0,1,0,0,0,0,0,1,0
21.0,33.8508021,-117.7490656,0,0,0,1,0,0,0,1,0
21.0,33.5019027,-117.6627655,0,0,0,1,0,0,0,1,0
21.0,33.6469437,-117.6861023,0,0,0,1,0,0,0,1,0
21.0,45.6769979,-111.0429339,0,0,0,1,0,0,0,1,0
21.0,33.8365932,-117.9143012,1,0,0,0,0,0,0,1,0
21.0,34.14426160000001,-118.0019482,0,0,1,0,0,0,0,1,0
21.0,36.72355719999999,-120.059879,0,0,0,1,1,0,0,0,0
21.0,37.3382082,-121.88632859999998,0,1,0,0,0,1,0,0,0
18.5,32.2226066,-110.9747108,0,0,1,0,1,0,0,0,0
18.5,37.6392595,-120.9970014,0,0,1,0,1,0,0,0,0
18.5,37.886704,-122.2977557,0,0,1,0,0,1,0,0,0
18.5,38.4087993,-121.3716178,1,0,0,0,0,0,0,0,1
18.5,38.02797620000001,-121.88468059999998,1,0,0,0,0,1,0,0,0
18.5,52.6308859,1.297355,1,0,0,0,0,0,0,1,0
18.5,38.5815719,-121.4943996,1,0,0,0,0,1,0,0,0
18.5,37.9479786,-122.0607963,0,1,0,0,1,0,0,0,0
18.5,37.9779776,-122.0310733,0,0,0,1,0,0,0,0,1
18.5,39.0954484,-121.5521858,0,1,0,0,0,0,0,0,1
18.5,38.7166871,-121.3644216,0,1,0,0,1,0,0,0,0
18.5,38.7632345,-121.1638361,0,0,0,1,0,0,0,1,0
18.5,37.3860517,-122.0838511,0,1,0,0,0,0,0,1,0
18.5,37.9771452,-122.29524740000002,1,0,0,0,0,0,0,1,0
32.0,37.4418834,-122.1430195,0,0,1,0,1,0,0,0,0
32.0,33.6845673,-117.82650490000002,0,0,1,0,0,0,0,1,0
32.0,37.3382082,-121.88632859999998,1,0,0,0,0,0,0,0,1
32.0,47.6101497,-122.2015159,1,0,0,0,0,0,0,1,0
32.0,33.884736100000005,-118.4109089,1,0,0,0,0,0,0,0,1
32.0,37.55854650000001,-122.2710788,0,1,0,0,0,0,0,0,1
32.0,37.7749295,-122.4194155,0,0,0,1,1,0,0,0,0
32.0,34.1489719,-118.451357,0,0,0,1,0,0,0,0,1
32.0,38.440429,-122.7140548,0,1,0,0,0,0,0,1,0
32.0,33.81400620000001,-117.8220723,0,1,0,0,0,1,0,0,0
32.0,33.7454725,-117.867653,0,1,0,0,0,0,0,0,1
32.0,37.7798721,-122.2821855,0,0,0,1,1,0,0,0,0
32.0,38.5815719,-121.4943996,0,0,0,1,0,0,0,0,1
32.0,32.6400541,-117.0841955,0,0,0,1,1,0,0,0,0
32.0,34.3916641,-118.542586,0,0,0,1,0,1,0,0,0
32.0,33.8508021,-117.7490656,0,0,0,1,1,0,0,0,0
32.0,37.3382082,-121.88632859999998,1,0,0,0,0,1,0,0,0
32.0,37.9357576,-122.3477486,0,1,0,0,0,0,0,0,1
32.0,32.715738,-117.1610838,0,0,1,0,0,0,0,0,1
32.0,32.832811199999995,-117.2712717,0,1,0,0,1,0,0,0,0
32.0,33.6188829,-117.9298493,0,0,0,1,1,0,0,0,0
32.0,38.6446264,-121.27217179999998,0,0,1,0,0,0,0,1,0
32.0,33.83584920000001,-118.3406288,1,0,0,0,1,0,0,0,0
32.0,36.9741171,-122.0307963,0,0,0,1,0,0,0,0,1
32.0,34.1533395,-118.7616764,1,0,0,0,1,0,0,0,0
32.0,32.6858853,-117.1830891,0,0,0,1,1,0,0,0,0
27.5,35.0843859,-106.650422,0,0,1,0,0,0,0,1,0
27.5,38.6779591,-121.17605829999998,1,0,0,0,0,1,0,0,0
27.5,33.5236744,-117.7149438,1,0,0,0,0,1,0,0,0
27.5,38.4087993,-121.3716178,1,0,0,0,1,0,0,0,0
27.5,41.90278350000001,12.4963655,1,0,0,0,0,1,0,0,0
27.5,37.6818688,-121.7684732,0,0,0,1,1,0,0,0,0
27.5,33.9775142,-118.1870156,0,0,0,1,0,1,0,0,0
27.5,40.6096698,-111.9391031,0,0,0,1,0,1,0,0,0
27.5,35.6803997,139.76901740000002,0,1,0,0,0,1,0,0,0
27.5,33.8314045,-118.0728424,0,1,0,0,0,0,0,1,0
27.5,33.9806005,-117.3754942,0,0,0,1,1,0,0,0,0
27.5,37.3382082,-121.88632859999998,1,0,0,0,1,0,0,0,0
27.5,37.7057623,-121.0849369,1,0,0,0,1,0,0,0,0
27.5,34.5794343,-118.11646129999998,0,0,0,1,0,1,0,0,0
27.5,34.228753999999995,-118.2351192,1,0,0,0,0,0,0,0,1
27.5,33.7205771,-116.2155619,0,0,0,1,1,0,0,0,0
27.5,34.208254,-118.6058609,0,0,0,1,0,0,0,0,1
27.5,33.770050399999995,-118.1937395,0,0,0,1,0,1,0,0,0
27.5,34.187044,-118.3812562,0,0,1,0,0,0,0,0,1
27.5,33.9424658,-117.2296717,0,0,0,1,1,0,0,0,0
27.5,50.7753455,6.083886800000001,0,1,0,0,1,0,0,0,0
27.5,33.8028875,-117.9931203,0,1,0,0,0,1,0,0,0
27.5,36.8529263,-75.97798499999998,0,0,0,1,0,0,0,1,0
27.5,34.3916641,-118.542586,1,0,0,0,0,1,0,0,0
27.5,22.3193039,114.1693611,0,0,0,1,0,0,0,0,1
27.5,33.6638439,-117.9047429,0,1,0,0,1,0,0,0,0
27.5,34.10084260000001,-117.7678355,1,0,0,0,1,0,0,0,0
27.5,34.163304499999995,-118.3841777,0,0,0,1,1,0,0,0,0
27.5,37.8043514,-122.2711639,0,0,1,0,1,0,0,0,0
26.0,45.4642035,9.189982,0,0,1,0,0,1,0,0,0
26.0,34.3058279,-118.4571974,0,0,1,0,0,0,0,1,0
26.0,34.0522342,-118.24368490000002,1,0,0,0,0,0,0,1,0
26.0,37.4323341,-121.8995741,1,0,0,0,0,0,0,0,1
26.0,44.786568,20.4489216,1,0,0,0,0,0,0,1,0
26.0,33.9806005,-117.3754942,0,0,0,1,0,1,0,0,0
26.0,-34.90111270000001,-56.16453139999999,0,0,0,1,0,1,0,0,0
26.0,33.8752935,-117.5664384,0,0,0,1,0,1,0,0,0
26.0,-23.5505199,-46.63330939999999,0,0,0,1,0,0,0,0,1
26.0,34.0852868,-117.96089779999998,0,1,0,0,0,1,0,0,0
26.0,33.9806005,-117.3754942,0,0,0,1,0,1,0,0,0
26.0,64.07880399999999,-21.8909088,1,0,0,0,0,0,0,0,1
26.0,33.9806005,-117.3754942,0,0,0,1,1,0,0,0,0
